"Name";"Photo";"AdmArea";"District";"Location";"RegistrationNumber";"State";"LocationType";"global_id";"geodata_center";"geoarea";
"Название объекта";"Фотография";"Административный округ по адресу";"Район";"Месторасположение";"Государственный регистрационный знак";"Состояние регистрации";"Тип места расположения";"global_id";"geodata_center";"geoarea";
"ДИНАМИЧЕСКАЯ ПЛАТФОРМА 3Д5";"f7ad3254-2ba2-4c01-85dd-23a832c5dd98";"Юго-Восточный административный округ";"Южнопортовый район";"ТРЦ «МОЗАИКА»";"0201-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"1060204967";"";"";
"ДИНАМИЧЕСКАЯ ПЛАТФОРМА 3Д5";"8c2ff6b0-6e9b-4c2c-9b8e-2ffb126841c3";"Новомосковский административный округ";"поселение Московский";"ТРЦ САЛАРИС";"0209-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"1060204969";"";"";
"АВИАСИМУЛЯТОР БОИНГ 737";"bda7f7da-e5ba-466e-a78a-5a5e8aacbac7";"Южный административный округ";"Даниловский район";"ТРЦ «РИВЬЕРА»";"0210-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"1060204973";"";"";
"АВИАСИМУЛЯТОР АИРБАС А320";"c82817b3-a12d-4fa3-9398-4612b9f68998";"Южный административный округ";"Даниловский район";"ТРЦ «РИВЬЕРА»";"0211-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"1060204978";"";"";
"LSM DARK COASTER";"9c12a212-dfda-4f83-919d-97314eb75815";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0113-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"1060227344";"";"";
"DOG UP";"14161758-bb58-4148-b223-db1728d1a1dd";"Южный административный округ";"район Москворечье-Сабурово";"ТЦ КАШИРСКАЯ ПЛАЗА";"0147-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"1060227345";"";"";
"5D КИНОТЕАТР";"411cad70-35f9-40c6-9717-90d6dc5867c5";"Южный административный округ";"район Нагатино-Садовники";"ТРЦ «НОРА»";"0170-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"1060227346";"";"";
"5D КИНОТЕАТР";"279b8a43-2b7b-44cf-8c24-8000c4633949";"Юго-Западный административный округ";"Гагаринский район";"ТЦ «ТРИУМФАЛЬНЫЙ»";"0171-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"1060227347";"";"";
"АВИАСИМУЛЯТОР EXTRINO 737";"f41aa6b2-0317-450f-a8b0-4b90b13d585e";"Центральный административный округ";"Пресненский район";"ТРЦ «АФИМОЛЛ СИТИ»";"0186-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"1060227350";"";"";
"MIRAGE F3";"45ec93a9-e414-4c8d-a9d1-c27184571eb0";"Западный административный округ";"район Тропарёво-Никулино";"ТРЦ «ФЕСТИВАЛЬ»";"0220-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386772615";"";"";
"6D OF 3 SCREEN RACING";"38ce588a-f96f-44a3-8aaf-978dcf870d2d";"Центральный административный округ";"Мещанский район";"ТЦ «ЦЕНТРАЛЬНЫЙ ДЕТСКИЙ МАГАЗИН»";"0228-77";"регистрация аттракциона приостановлена";"торгово-развлекательный комплекс";"2386772616";"";"";
"360 KING KONG VR";"7d626802-305a-4875-aead-15e8abef83fc";"Центральный административный округ";"Мещанский район";"ТЦ «ЦЕНТРАЛЬНЫЙ ДЕТСКИЙ МАГАЗИН»";"0229-77";"регистрация аттракциона приостановлена";"торгово-развлекательный комплекс";"2386772617";"";"";
"ПОЖАРНАЯ МАШИНА";"4bbec290-8ffe-41c5-a818-8affd9a5c0cc";"Северный административный округ";"Хорошёвский район";"ТЦ «АВИАПАРК»";"0263-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386772623";"";"";
"СКОРАЯ ПОМОЩЬ";"53532302-ced4-4006-95a9-c108d57822ed";"Северный административный округ";"Хорошёвский район";"ТЦ «АВИАПАРК»";"0264-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386772624";"";"";
"МАШИНА ИНКАССАЦИИ";"fa0821ef-fc36-4c07-8be4-69ebc184c4e7";"Северный административный округ";"Хорошёвский район";"ТЦ «АВИАПАРК»";"0265-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386772625";"";"";
"АВТОБУС";"511514a4-41a3-42fc-ad16-db9f5d3dc252";"Северный административный округ";"Хорошёвский район";"ТЦ «АВИАПАРК»";"0266-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386772626";"";"";
"АВТОДРОМ";"d8a13418-9cad-43a3-bdd6-ab68a2ea3b75";"Северный административный округ";"Хорошёвский район";"ТЦ «АВИАПАРК»";"0267-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386772628";"";"";
"СКОРОСТНАЯ ДОРОГА С МИНИ-АВТОМОБИЛЯМИ МОДЕЛЕЙ STORM PROKART EFD, STORM PROKART EFD DUO, JUNIOR MY17";"41aa3f08-1cad-46eb-bece-54ab852377ea";"Юго-Западный административный округ";"район Котловка";"ТЦ «КАПИТОЛИЙ СЕВАСТОПОЛЬСКИЙ»";"0272-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386772630";"";"";
"«ЛЕДЯНАЯ КАРУСЕЛЬ» («FLYNG SWINGER 64»)";"7ebb9290-ae0a-437d-831e-30d2924ac73d";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0282-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386772632";"";"";
"«ВЕРЕВОЧНАЯ СЕМЕЙНАЯ БАШНЯ» («ROPE FAMILY TOWER»)";"e8b902f4-5aed-4e75-b128-84534eb839b5";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0283-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386772633";"";"";
"«TOP SPIN SUSPENDED» («ХРАМ ОГНЯ»)";"6909af76-67ba-4edc-994e-64dc7e0650ac";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0284-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386772634";"";"";
"АВИАСИМУЛЯТОР EXTRINO 737";"1c24a4e5-b5f5-4fcc-a3f1-df8a8e3c8b03";"Южный административный округ";"район Чертаново Центральное";"ТРЦ «COLUMBUS»";"0241-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835249";"";"";
"«BUFFALO»(MEDIUM)";"fef9f4d8-bad6-4017-8fb1-cb247f64a665";"Западный административный округ";"район Дорогомилово";"ТРЦ «ЕВРОПЕЙСКИЙ»";"0242-77";"регистрация аттракциона приостановлена";"торгово-развлекательный комплекс";"2386835250";"";"";
"АВИАСИМУЛЯТОР EXTRINO 320";"7fa38828-2e8c-4fb4-93d5-b9343314c267";"Центральный административный округ";"Пресненский район";"ТРЦ «АФИМОЛЛ СИТИ»";"0243-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835251";"";"";
"MERRY GO ROUND 4MT";"e98956df-4409-4264-b2dc-84ae013f0c39";"Северный административный округ";"Войковский район";"ТЦ «МЕТРОПОЛИС»";"0259-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835252";"";"";
"MEGA DISKO 40";"7874a2b0-cd42-4242-8c58-f6b035850453";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0281-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835253";"";"";
"«POWER MOUSE 30X20 METERS» («СЕМЕЙНАЯ КАТАЛЬНАЯ ГОРА»)";"cb59e242-c9e6-4ebd-a4bb-d7a3c23009cc";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0286-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835255";"";"";
"«GARGAMELS TOWER DROP-TWIST TOWER (БАШНЯ ПАДЕНИЯ 8 М)»";"d7964051-e1ec-4d67-a9a0-70e39df940ba";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0297-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835259";"";"";
"МОУШН СФЕРА";"6271a285-d5af-446d-aa40-6da5d236b55f";"Юго-Восточный административный округ";"район Марьино";"ТРК «MARI»";"0296-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835260";"";"";
"WIND STAR Z";"5d79da84-5ebb-4320-8681-0e6643f7ff12";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2200-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835261";"";"";
"OCTOPUS RIDE";"42bdc4cf-9696-4a1a-b84e-5955591fb42a";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2201-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835262";"";"";
"SWIRLING CUPCAKES";"7fdae3dd-cedb-4091-86fd-d3ed14e082c0";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2202-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835263";"";"";
"FLYING AIRPLANE 14 (КАРУСЕЛЬ ПТЕРОДАКТИЛИ)";"d9a87645-f024-49a9-9320-4f71a7aa2ac5";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2207-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835264";"";"";
"СТЕРЕОЗАЛ «STAR TECHNOLOGY»";"b4f1d7c5-d812-46f6-aecd-df2c51a66e64";"Северо-Восточный административный округ";"Бабушкинский район";"ТРЦ «КЛЕН»";"2232-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835265";"";"";
"3D-TOWER 24 MT («МЕДИА БАШНЯ ПАДЕНИЯ»)";"bd11b48f-efe0-43e3-aa57-621af31f4b77";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2258-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835266";"";"";
"JUNGLE CARROUSEL";"51e47a86-d988-4fef-b013-4e13db775315";"Южный административный округ";"район Орехово-Борисово Северное";"ТЦ КАШИРСКАЯ ПЛАЗА";"2238-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835267";"";"";
"BUMPER CARS";"45d949fe-e9ca-406c-943f-e4502306a82d";"Западный административный округ";"район Тропарёво-Никулино";"ТРЦ «ФЕСТИВАЛЬ»";"0221-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835268";"";"";
"MOVIE BASE XS («ЛЕТАЮЩИЙ ТЕАТР»)";"594028bf-b8c0-429c-8e7d-30c82f09355f";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2319-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835269";"";"";
"СПЕЙС РИФТ 2Х";"4f4b1fb8-0564-4568-acab-9b690646cda0";"Южный административный округ";"район Нагатино-Садовники";"ТРЦ «НОРА»";"2324-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835270";"";"";
"«ЛЕТНАЯ ШКОЛА» («SKY FLY»)";"452f14a1-13fe-4f38-910d-b52990527ab1";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0285-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886271";"";"";
"«МОЛОТ СУДЬБЫ» («MAXI DANCE PARTY 32»)";"37ce31bb-7f62-4b3b-9d45-a26cfe4477fa";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0287-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886273";"";"";
"«ПОЮЩАЯ КАРУСЕЛЬ» («CIRCUS SWING»)";"27c0fd3a-e422-4d09-b71c-ad28c5354026";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0288-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886276";"";"";
"MAGIC BIKES 8";"2796a92f-ecef-4b0e-ba33-1ea3ceda7255";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0294-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886278";"";"";
"NEBULAZ";"a2dd0f0e-01ba-4132-bba6-12d2394de877";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2332-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886291";"";"";
"ДИНАМИЧЕСКАЯ ПЛАТФОРМА EP 4VR ST";"9c2a9b4e-7596-4f7d-a4da-d86d57c821e6";"Юго-Восточный административный округ";"район Марьино";"ТРК «MARI»";"2333-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886293";"";"";
"КАРУСЕЛЬ";"7a7ae3de-2a9f-401f-a6b1-58e9a40dcfa6";"Центральный административный округ";"Тверской район";"ГОСТИНЫЙ ДВОР";"2334-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886296";"";"";
"KITE FLYER 12";"47ceb856-1b88-4570-b60c-8b17a6334b20";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2336-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886299";"";"";
"JUMP AROUND 6";"6f2300cb-3d42-44b5-8a5b-1593ff035e86";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2337-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886303";"";"";
"JUMPIN STAR";"a99da2cc-76ee-4c34-bab3-ec531cca5fb1";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2338-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886306";"";"";
"SUPER HAPPY SWING";"7c6951b5-2c6d-48bf-aed2-46216865a074";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2339-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886309";"";"";
"ЗИМНЯЯ ГОРКА KIDWILL";"da8600d6-3e49-4783-98cf-60edc78b8058";"Центральный административный округ";"Басманный район";"ТЕРРИТОРИЯ ЦЕНТРА СОВРЕМЕННОГО ИСКУССТВА ВИНЗАВОД";"2340-77";"регистрация аттракциона приостановлена";"торгово-развлекательный комплекс";"2386886312";"";"";
"AIR FORCE";"103c47df-017f-404f-9f75-1a6951dbd0e3";"Южный административный округ";"район Чертаново Северное";"ТРЦ «ГЛОБАЛ СИТИ»";"0249-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886315";"";"";
"FX SIMULATION X2";"bd5f4bcd-362e-4ac3-a4ae-f96d56007584";"Южный административный округ";"район Чертаново Северное";"ТРЦ «ГЛОБАЛ СИТИ»";"0262-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886319";"";"";
"DROP TOWER 25MT";"55eafdc6-9b6e-4a51-a6fc-d90da9666260";"Южный административный округ";"район Чертаново Северное";"ТРЦ «ГЛОБАЛ СИТИ»";"0256-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886321";"";"";
"СТЕРЕОЗАЛ «STAR TECHNOLOGY»";"d0af8fa9-cfeb-48a3-b631-12fc21000f38";"Новомосковский административный округ";"поселение Московский";"ТРК «НОВОМОСКОВСКИЙ»";"2210-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886324";"";"";
"ВОДНАЯ ГОРКА BODY SLIDE";"839f66b0-e740-4024-8fea-f48e618dcb40";"Центральный административный округ";"Тверской район";"АКВАПАРК КАРИБИЯ";"2347-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886327";"";"";
"ВОДНАЯ ГОРКА BLACK HOLE";"7ffb458b-8999-4488-9962-82173242ddde";"Центральный административный округ";"Тверской район";"АКВАПАРК КАРИБИЯ";"2348-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886330";"";"";
